Time,nz-c2.S,nz-c2.E,nz-c2.P,nz-c2.Iu,nz-c2.Ic,nz-c2.Ru,nz-c2.Rc,nz-c2.D,nz-c2.cases,nz-c2.Level
0.000000,4820197.200000,904.800000,226.200000,187.200000,39.000000,0.000000,0.000000,0.000000,39.000000,0.000000
1.000000,4820121.520848,772.362373,213.072151,353.612611,61.503498,27.151114,4.854119,0.323285,66.406648,0.000000
2.000000,4820011.210858,699.638407,193.150558,473.169234,95.429180,68.433583,12.550162,0.818018,108.106112,0.000000
3.000000,4819876.966607,664.014021,177.976474,554.889363,135.576627,119.578267,23.948873,1.449769,159.767408,0.000000
4.000000,4819726.355712,650.641777,168.960472,610.971675,178.351697,177.452097,39.475384,2.191187,218.225822,0.000000
5.000000,4819564.221289,650.356334,164.824293,651.120501,221.559267,240.023669,59.271462,3.023183,281.429431,0.000000
6.000000,4819543.677539,524.587217,151.492653,567.732183,373.717075,300.206524,89.054876,3.931933,463.671495,4.000000
7.000000,4819525.635700,424.462359,129.128365,495.759125,489.655959,352.801275,132.059632,4.897585,623.049526,4.000000
8.000000,4819509.658493,344.662273,107.010405,428.868855,574.788967,398.535692,184.981205,5.894110,761.638670,4.000000
9.000000,4819495.643034,280.782068,87.776475,366.996858,633.428659,437.888586,244.986591,6.897729,880.889863,4.000000
10.000000,4819483.451364,229.422713,71.795611,311.109168,669.670300,471.404931,309.656403,7.889508,982.454546,4.000000
11.000000,4819472.912330,187.966205,58.740723,261.792147,687.452559,499.710876,376.969800,8.855360,1068.230135,4.000000
12.000000,4819463.839761,154.386650,48.134271,219.083191,690.425263,523.462839,445.282715,9.785309,1140.205783,4.000000
13.000000,4819456.048443,127.105246,39.523131,182.618641,681.838978,543.299572,513.293334,10.672656,1200.317094,4.000000
14.000000,4819449.364371,104.882398,32.523488,151.810664,664.494811,559.811420,579.999605,11.513243,1250.352998,4.000000
15.000000,4819443.630072,86.738049,26.823005,125.980730,640.743759,573.525164,644.654377,12.304844,1291.909797,4.000000
16.000000,4819438.706545,71.892598,22.170993,104.444441,612.516994,584.899591,706.722156,13.046684,1326.377757,4.000000
17.000000,4819434.473141,59.722681,18.366893,86.559192,581.371776,594.327526,765.839727,13.739063,1354.947257,4.000000
18.000000,4819430.826336,49.727717,15.250086,71.747113,548.542757,602.141263,821.781667,14.383060,1378.625249,4.000000
19.000000,4819427.677984,41.504288,12.691603,59.502874,514.992565,608.619453,874.430927,14.980307,1398.256127,4.000000
20.000000,4819424.953411,34.726337,10.587586,49.392879,481.458430,613.994295,923.754247,15.532814,1414.543529,4.000000
21.000000,4819422.589558,29.129694,8.854174,41.049980,448.493426,618.458405,969.781932,16.042832,1428.071135,4.000000
22.000000,4819420.533265,24.499898,7.423478,34.166219,416.501931,622.171040,1012.591417,16.512752,1439.321543,4.000000
23.000000,4819418.739747,20.662550,6.240430,28.485040,385.769557,625.263576,1052.294073,16.945027,1448.692863,4.000000
24.000000,4819417.171264,17.475617,5.260278,23.793771,356.488024,627.844218,1089.024718,17.342110,1456.512991,4.000000
25.000000,4819415.795990,14.823277,4.446593,19.916748,328.775606,630.002003,1122.933366,17.706418,1463.051733,4.000000
26.000000,4819414.587049,12.610964,3.769683,16.709260,302.693791,631.810151,1154.178808,18.040293,1468.530971,4.000000
27.000000,4819413.521703,10.761386,3.205318,14.052310,278.260746,633.328871,1182.923682,18.345985,1473.133151,4.000000
28.000000,4819412.580674,9.211295,2.733698,11.848172,255.462112,634.607673,1209.330735,18.625640,1477.008309,4.000000
29.000000,4819411.747585,7.908885,2.338625,10.016658,234.259623,635.687290,1233.560049,18.881286,1480.279875,4.000000
30.000000,4819411.008479,6.811670,2.006837,8.491995,214.597916,636.601250,1255.767022,19.114831,1483.049453,4.000000
31.000000,4819410.351437,5.884770,1.727460,7.220251,196.409892,637.377179,1276.100950,19.328062,1485.400751,4.000000
32.000000,4819409.766245,5.099515,1.491570,6.157194,179.620893,638.037854,1294.704084,19.522646,1487.402796,4.000000
33.000000,4819409.244131,4.432310,1.291832,5.266540,164.151926,638.602082,1311.711047,19.700133,1489.112579,4.000000
