Time,nz_c2_10.C_dot,nz_c2_10.Level,nz_c2_10.total_cases,nz_c2_10.deaths,nz_c2_10.Iu,nz_c2_10.Ic
0.000000,0.000000,0.000000,64.000000,0.000000,355.000000,64.000000
1.000000,50.036390,0.000000,108.398830,0.060001,500.363899,102.398736
2.000000,52.092768,0.000000,160.004795,0.120062,520.927679,147.998591
3.000000,50.816678,0.000000,211.525325,0.180636,508.166778,193.461736
4.000000,50.071468,0.000000,261.843185,0.243427,500.714682,237.500483
5.000000,51.165042,0.000000,312.295297,0.313189,511.650418,280.976425
6.000000,135.009698,4.000000,455.500345,0.399397,450.032327,415.560675
7.000000,124.902059,4.000000,584.992561,0.515493,416.340198,533.443287
8.000000,117.741498,4.000000,706.276437,0.675655,392.471660,638.710908
9.000000,109.567641,4.000000,820.113100,0.892757,365.225469,730.837423
10.000000,99.068204,4.000000,924.624089,1.180447,330.227348,806.579433
11.000000,86.847636,4.000000,1017.680444,1.555757,289.492121,862.104730
12.000000,74.180990,4.000000,1098.185615,2.036915,247.269965,894.494149
13.000000,62.186510,4.000000,1166.284232,2.636737,207.288368,902.610515
14.000000,51.531981,4.000000,1223.021427,3.356304,171.773269,887.390978
15.000000,42.463151,4.000000,1269.889719,4.182575,141.543837,851.632199
16.000000,34.945278,4.000000,1308.474521,5.090383,116.484260,799.436197
17.000000,28.801782,4.000000,1340.245682,6.047104,96.005940,735.535306
18.000000,23.810189,4.000000,1366.467503,7.017937,79.367296,664.673773
19.000000,19.754926,4.000000,1388.182346,7.970407,65.849755,591.141664
20.000000,16.449743,4.000000,1406.230670,8.877442,54.832476,518.486451
21.000000,13.742856,4.000000,1421.283915,9.718975,45.809520,449.386431
22.000000,11.514115,4.000000,1433.877942,10.482260,38.380384,385.651959
23.000000,9.669518,4.000000,1444.442003,11.161266,32.231727,328.315415
24.000000,8.135629,4.000000,1453.322062,11.755498,27.118764,277.772297
25.000000,6.854844,4.000000,1460.798904,12.268577,22.849481,233.941179
26.000000,4.233660,3.000000,1465.206747,12.706839,21.168300,194.522813
27.000000,3.888915,3.000000,1469.267898,13.078106,19.444573,161.457268
28.000000,3.561720,3.000000,1472.990842,13.390720,17.808599,133.918806
29.000000,3.272803,3.000000,1476.404597,13.652819,16.364015,111.122703
30.000000,3.027527,3.000000,1479.551400,13.871821,15.137636,92.369283
31.000000,2.819329,3.000000,1482.472279,14.054176,14.096647,77.054697
32.000000,2.637487,3.000000,1485.199019,14.205401,13.187433,64.658957
33.000000,2.472581,3.000000,1487.753032,14.330299,12.362904,54.723137
34.000000,2.318479,3.000000,1490.147906,14.433175,11.592396,46.830413
35.000000,2.172101,3.000000,1492.392693,14.517939,10.860503,40.598819
36.000000,2.032377,3.000000,1494.494458,14.588103,10.161883,35.684203
37.000000,1.899244,3.000000,1496.459776,14.646727,9.496218,31.787096
38.000000,1.772960,3.000000,1498.295359,14.696375,8.864802,28.657817
39.000000,1.653754,3.000000,1500.008181,14.739110,8.268771,26.097134
40.000000,1.541692,3.000000,1501.605366,14.776528,7.708462,23.952548
41.000000,1.436674,3.000000,1503.094023,14.809824,7.183369,22.111663
42.000000,1.338426,3.000000,1504.481075,14.839867,6.692130,20.494372
43.000000,1.246504,3.000000,1505.773079,14.867279,6.232518,19.045132
44.000000,1.160451,3.000000,1506.976126,14.892499,5.802255,17.726225
45.000000,1.079924,3.000000,1508.095905,14.915835,5.399622,16.512438
46.000000,1.004673,3.000000,1509.137811,14.937508,5.023366,15.387043
47.000000,0.934474,3.000000,1510.107008,14.957681,4.672369,14.338877
48.000000,0.869087,3.000000,1511.008431,14.976482,4.345434,13.360272
49.000000,0.808246,3.000000,1511.846761,14.994011,4.041232,12.445665
50.000000,0.751669,3.000000,1512.626403,15.010357,3.758344,11.590715
51.000000,0.699067,3.000000,1513.351478,15.025597,3.495337,10.791771
52.000000,0.650163,3.000000,1514.025821,15.039803,3.250816,10.045570
53.000000,0.604693,3.000000,1514.652996,15.053039,3.023465,9.349080
54.000000,0.442082,2.000000,1515.101271,15.065369,2.947213,8.564375
55.000000,0.429165,2.000000,1515.536951,15.076850,2.861100,7.851915
56.000000,0.416844,2.000000,1515.959815,15.087538,2.778960,7.205998
57.000000,0.407059,2.000000,1516.371512,15.097481,2.713726,6.623443
58.000000,0.400424,2.000000,1516.775004,15.106713,2.669491,6.103668
59.000000,0.396391,2.000000,1517.173237,15.115256,2.642604,5.647656
60.000000,0.393962,2.000000,1517.568322,15.123119,2.626415,5.256424
61.000000,0.392240,2.000000,1517.961395,15.130320,2.614934,4.929436
62.000000,0.390644,2.000000,1518.352843,15.136892,2.604297,4.663596
63.000000,0.388904,2.000000,1518.742635,15.142895,2.592692,4.453160
64.000000,0.386952,2.000000,1519.130580,15.148401,2.579679,4.290435
65.000000,0.384823,2.000000,1519.516481,15.153497,2.565487,4.166826
66.000000,0.382581,2.000000,1519.900191,15.158264,2.550538,4.073838
67.000000,0.380281,2.000000,1520.281626,15.162778,2.535205,4.003807
68.000000,0.377960,2.000000,1520.660748,15.167105,2.519736,3.950294
69.000000,0.375640,2.000000,1521.037549,15.171293,2.504267,3.908203
70.000000,0.373328,2.000000,1521.412034,15.175383,2.488857,3.873705
71.000000,0.371028,2.000000,1521.784212,15.179402,2.473523,3.844060
72.000000,0.368741,2.000000,1522.154097,15.183367,2.458270,3.817394
73.000000,0.366465,2.000000,1522.521700,15.187292,2.443098,3.792487
74.000000,0.364201,2.000000,1522.887033,15.191185,2.428007,3.768581
75.000000,0.361950,2.000000,1523.250108,15.195049,2.413000,3.745232
76.000000,0.359712,2.000000,1523.610939,15.198887,2.398079,3.722194
77.000000,0.357487,2.000000,1523.969539,15.202702,2.383247,3.699343
